SourceFile,BookingReference,CreatedDate,Reference,AttendeeStatus
SRM22,B1069935,2022-03-16,A1139372,Attending
SRM22,B1069936,2022-03-16,A1139373,Attending
SRM22,B1069940,2022-03-16,A1139377,Attending
SRM22,B1069941,2022-03-16,A1139378,Attending
SRM22,B1069942,2022-03-16,A1139379,Attending
SRM22,B1069943,2022-03-16,A1139380,Attending
SRM22,B1069944,2022-03-16,A1139381,Attending
SRM22,B1069945,2022-03-16,A1139382,Attending
SRM22,B1069946,2022-03-16,A1139383,Attending
SRM22,B1069947,2022-03-16,A1139384,Attending
SRM22,B1069948,2022-03-16,A1139385,Attending
SRM22,B1069949,2022-03-16,A1139386,Attending
SRM22,B1069950,2022-03-16,A1139387,Attending
SRM22,B1069951,2022-03-16,A1139388,Attending
SRM22,B1069952,2022-03-16,A1139389,Attending
SRM22,B1069957,2022-03-16,A1139395,Attending
SRM22,B1069958,2022-03-16,A1139396,Attending
SRM22,B1069959,2022-03-16,A1139397,Attending
SRM22,B1069961,2022-03-16,A1139399,Attending
SRM22,B1069962,2022-03-16,A1139400,Attending
SRM22,B1069963,2022-03-16,A1139401,Attending
SRM22,B1069964,2022-03-16,A1139402,Attending
SRM22,B1069967,2022-03-16,A1139405,Attending
SRM22,B1069968,2022-03-16,A1139406,Attending
SRM22,B1069970,2022-03-16,A1139408,Attending
SRM22,B1069971,2022-03-16,A1139409,Attending
SRM22,B1069974,2022-03-16,A1139412,Attending
SRM22,B1069976,2022-03-16,A1139414,Attending
SRM22,B1069977,2022-03-16,A1139415,Attending
SRM22,B1069978,2022-03-16,A1139416,Attending
SRM22,B1069979,2022-03-16,A1139417,Attending
SRM22,B1069980,2022-03-16,A1139418,Attending
SRM22,B1069991,2022-03-16,A1139429,Attending
SRM22,B1069992,2022-03-16,A1139430,Attending
SRM22,B1069994,2022-03-16,A1139432,Attending
SRM22,B1069998,2022-03-16,A1139436,Attending
SRM22,B1070002,2022-03-16,A1139442,Attending
SRM22,B1070003,2022-03-16,A1139443,Attending
SRM22,B1070004,2022-03-16,A1139444,Attending
SRM22,B1070007,2022-03-16,A1139448,Attending
SRM22,B1070010,2022-03-16,A1139451,Attending
SRM22,B1070011,2022-03-16,A1139452,Attending
SRM22,B1070015,2022-03-16,A1139456,Attending
SRM22,B1070016,2022-03-16,A1139457,Attending
SRM22,B1070023,2022-03-16,A1139464,Attending
SRM22,B1070028,2022-03-16,A1139469,Attending
SRM22,B1070029,2022-03-16,A1139470,Attending
SRM22,B1070030,2022-03-16,A1139471,Attending
SRM22,B1070031,2022-03-16,A1139472,Attending
SRM22,B1070033,2022-03-16,A1139474,Attending
SRM22,B1070042,2022-03-16,A1139483,Attending
SRM22,B1070045,2022-03-16,A1139487,Attending
SRM22,B1070063,2022-03-16,A1139505,Attending
SRM22,B1070066,2022-03-16,A1139508,Attending
SRM22,B1070068,2022-03-16,A1139510,Attending
SRM22,B1070069,2022-03-16,A1139511,Attending
SRM22,B1070070,2022-03-16,A1139512,Attending
SRM22,B1070088,2022-03-16,A1139530,Attending
SRM22,B1070115,2022-03-16,A1139565,Attending
SRM22,B1070122,2022-03-16,A1139572,Attending
SRM22,B1070125,2022-03-16,A1139575,Attending
SRM22,B1070129,2022-03-16,A1139579,Attending
SRM22,B1070136,2022-03-16,A1139586,Attending
SRM22,B1070144,2022-03-16,A1139594,Attending
SRM22,B1070157,2022-03-16,A1139611,Attending
SRM22,B1070159,2022-03-16,A1139613,Attending
SRM22,B1070175,2022-03-16,A1139630,Attending
SRM22,B1070177,2022-03-16,A1139632,Attending
SRM22,B1070186,2022-03-16,A1139641,Attending
SRM22,B1070196,2022-03-16,A1139653,Attending
SRM22,B1070217,2022-03-17,A1139677,Attending
SRM22,B1070222,2022-03-17,A1139684,Attending
SRM22,B1070223,2022-03-17,A1139685,Attending
SRM22,B1070225,2022-03-17,A1139687,Attending
SRM22,B1070226,2022-03-17,A1139688,Attending
SRM22,B1070228,2022-03-17,A1139691,Attending
SRM22,B1070233,2022-03-17,A1139697,Attending
SRM22,B1070234,2022-03-17,A1139698,Attending
SRM22,B1070235,2022-03-17,A1139699,Attending
SRM22,B1070239,2022-03-17,A1139703,Attending
SRM22,B1070241,2022-03-17,A1139705,Attending
SRM22,B1070250,2022-03-17,A1139716,Attending
SRM22,B1070254,2022-03-17,A1139720,Attending
SRM22,B1070257,2022-03-17,A1139723,Attending
SRM22,B1070258,2022-03-17,A1139724,Attending
SRM22,B1070259,2022-03-17,A1139725,Attending
SRM22,B1070260,2022-03-17,A1139726,Attending
SRM22,B1070261,2022-03-17,A1139727,Attending
SRM22,B1070262,2022-03-17,A1139728,Attending
SRM22,B1070272,2022-03-17,A1139743,Attending
SRM22,B1070273,2022-03-17,A1139744,Attending
SRM22,B1070276,2022-03-17,A1139747,Attending
