SourceFile,BookingReference,CreatedDate,Reference,AttendeeStatus
D19,B739461,2019-07-16,A802512,Cancelled
D19,B739462,2019-07-16,A802513,Attending
D19,B739463,2019-07-16,A802514,Attending
D19,B739464,2019-07-16,A802515,Attending
D19,B739465,2019-07-16,A802516,Attending
D19,B739466,2019-07-16,A802517,Cancelled
D19,B739467,2019-07-16,A802518,Attending
D19,B739468,2019-07-16,A802519,Attending
D19,B739469,2019-07-16,A802520,Attending
D19,B739470,2019-07-16,A802521,Cancelled
D19,B739471,2019-07-16,A802522,Attending
D19,B739472,2019-07-16,A802523,Attending
D19,B739473,2019-07-16,A802524,Cancelled
D19,B739474,2019-07-16,A802525,Attending
D19,B739475,2019-07-16,A802526,Attending
D19,B739476,2019-07-16,A802527,Cancelled
D19,B739477,2019-07-16,A802528,Attending
D19,B739478,2019-07-16,A802529,Cancelled
D19,B739479,2019-07-16,A802530,Attending
D19,B739480,2019-07-16,A802531,Attending
D19,B739481,2019-07-16,A802532,Attending
D19,B739482,2019-07-16,A802533,Attending
D19,B739483,2019-07-16,A802534,Attending
D19,B739484,2019-07-16,A802535,Attending
D19,B739485,2019-07-16,A802536,Attending
D19,B739486,2019-07-16,A802537,Attending
D19,B739487,2019-07-16,A802538,Attending
D19,B739488,2019-07-16,A802539,Attending
D19,B739489,2019-07-16,A802540,Attending
D19,B739490,2019-07-16,A802541,Attending
D19,B739491,2019-07-16,A802542,Attending
D19,B739492,2019-07-16,A802543,Attending
D19,B739493,2019-07-16,A802544,Attending
D19,B739494,2019-07-16,A802545,Attending
D19,B739495,2019-07-16,A802546,Attending
D19,B739496,2019-07-16,A802547,Attending
D19,B739497,2019-07-16,A802548,Cancelled
D19,B739498,2019-07-16,A802549,Attending
D19,B739499,2019-07-16,A802550,Attending
D19,B739500,2019-07-16,A802551,Attending
D19,B739501,2019-07-16,A802552,Attending
D19,B739502,2019-07-16,A802553,Attending
D19,B739503,2019-07-16,A802554,Attending
D19,B739504,2019-07-16,A802555,Cancelled
D19,B739506,2019-07-16,A802557,Attending
D19,B739507,2019-07-16,A802558,Attending
D19,B739508,2019-07-16,A802559,Attending
D19,B739509,2019-07-16,A802560,Attending
D19,B739510,2019-07-16,A802561,Cancelled
D19,B739511,2019-07-16,A802562,Cancelled
D19,B739512,2019-07-16,A802563,Attending
D19,B739513,2019-07-16,A802564,Attending
D19,B739514,2019-07-16,A802565,Attending
D19,B739515,2019-07-16,A802566,Cancelled
D19,B739516,2019-07-16,A802567,Attending
D19,B739517,2019-07-16,A802568,Attending
D19,B739518,2019-07-16,A802569,Attending
D19,B739519,2019-07-16,A802570,Attending
D19,B739520,2019-07-16,A802571,Attending
D19,B739521,2019-07-16,A802572,Attending
D19,B739522,2019-07-16,A802573,Attending
D19,B739523,2019-07-16,A802574,Attending
D19,B739524,2019-07-16,A802575,Attending
D19,B739525,2019-07-16,A802576,Attending
D19,B739526,2019-07-16,A802577,Attending
D19,B739527,2019-07-16,A802578,Attending
D19,B739528,2019-07-16,A802579,Attending
D19,B739529,2019-07-16,A802580,Attending
D19,B739530,2019-07-16,A802581,Attending
D19,B739531,2019-07-16,A802582,Attending
D19,B739532,2019-07-16,A802583,Attending
D19,B739533,2019-07-16,A802584,Attending
D19,B739534,2019-07-16,A802585,Attending
D19,B739535,2019-07-16,A802586,Attending
D19,B739536,2019-07-16,A802587,Attending
D19,B739537,2019-07-16,A802588,Attending
D19,B739538,2019-07-16,A802589,Cancelled
