SourceFile,BookingReference,CreatedDate,Reference,AttendeeStatus
GP21,B816298,2020-02-06,A883509,Attending
GP21,B816298,2020-02-06,A883510,Attending
GP21,B893470,2020-10-21,A961305,Attending
GP21,B893472,2020-10-21,A961307,Attending
GP21,B893474,2020-10-21,A961309,Attending
GP21,B893475,2020-10-21,A961310,Attending
GP21,B893476,2020-10-21,A961311,Attending
GP21,B893477,2020-10-21,A961312,Attending
GP21,B893478,2020-10-21,A961313,Attending
GP21,B893482,2020-10-21,A961317,Cancelled
GP21,B893485,2020-10-21,A961320,Attending
GP21,B893487,2020-10-21,A961322,Attending
GP21,B893489,2020-10-21,A961324,Attending
GP21,B893490,2020-10-21,A961325,Attending
GP21,B893492,2020-10-21,A961327,Attending
GP21,B893494,2020-10-21,A961329,Attending
GP21,B893497,2020-10-21,A961332,Attending
GP21,B893498,2020-10-21,A961333,Attending
GP21,B893499,2020-10-21,A961334,Attending
GP21,B893502,2020-10-21,A961337,Attending
GP21,B893503,2020-10-21,A961338,Attending
GP21,B893504,2020-10-21,A961339,Attending
GP21,B893507,2020-10-21,A961342,Attending
GP21,B893508,2020-10-21,A961343,Attending
GP21,B893509,2020-10-21,A961344,Attending
GP21,B893510,2020-10-21,A961345,Attending
GP21,B893510,2020-10-21,A961346,Cancelled
GP21,B893510,2020-10-21,A961347,Attending
GP21,B893512,2020-10-21,A961349,Attending
GP21,B893517,2020-10-21,A961354,Attending
GP21,B893518,2020-10-21,A961355,Attending
GP21,B893519,2020-10-21,A961356,Attending
GP21,B893521,2020-10-21,A961358,Attending
GP21,B893526,2020-10-21,A961363,Attending
GP21,B893527,2020-10-21,A961364,Attending
GP21,B893528,2020-10-21,A961365,Attending
GP21,B893529,2020-10-21,A961366,Attending
GP21,B893529,2020-10-21,A961367,Attending
GP21,B893530,2020-10-21,A961368,Attending
GP21,B893531,2020-10-21,A961369,Attending
GP21,B893533,2020-10-21,A961371,Attending
GP21,B893535,2020-10-21,A961373,Attending
GP21,B893537,2020-10-21,A961375,Attending
GP21,B893539,2020-10-21,A961377,Attending
GP21,B893545,2020-10-21,A961383,Attending
